"(1, 3)","(4, 4)",58.93536121673
"(1, 3)","(4, 5)",58.5551330798479
"(1, 4)","(4, 4)",58.5551330798479
"(1, 4)","(4, 5)",58.5551330798479
"(1, 2)","(4, 4)",58.1749049429658
"(2, 2)","(2, 3)",58.1749049429658
"(2, 3)","(3, 3)",58.1749049429658
"(2, 4)","(3, 3)",58.1749049429658
"(2, 4)","(3, 5)",58.1749049429658
"(3, 3)","(4, 4)",58.1749049429658
"(1, 1)","(3, 4)",57.7946768060837
"(1, 2)","(3, 3)",57.7946768060837
"(1, 4)","(2, 5)",57.7946768060837
"(1, 4)","(3, 6)",57.7946768060837
"(2, 2)","(3, 3)",57.7946768060837
"(2, 3)","(2, 3)",57.7946768060837
"(2, 3)","(2, 5)",57.7946768060837
"(2, 3)","(3, 5)",57.7946768060837
"(2, 4)","(2, 4)",57.7946768060837
"(2, 4)","(2, 5)",57.7946768060837
"(2, 4)","(2, 6)",57.7946768060837
"(3, 3)","(3, 5)",57.7946768060837
"(3, 3)","(3, 7)",57.7946768060837
"(3, 3)","(4, 6)",57.7946768060837
"(3, 4)","(2, 5)",57.7946768060837
"(3, 4)","(3, 4)",57.7946768060837
"(3, 4)","(4, 6)",57.7946768060837
"(1, 1)","(2, 6)",57.4144486692015
"(1, 3)","(2, 6)",57.4144486692015
"(1, 3)","(2, 7)",57.4144486692015
"(1, 3)","(3, 6)",57.4144486692015
"(1, 4)","(2, 7)",57.4144486692015
"(1, 4)","(3, 7)",57.4144486692015
"(2, 2)","(2, 6)",57.4144486692015
"(2, 3)","(2, 6)",57.4144486692015
"(2, 4)","(2, 3)",57.4144486692015
"(2, 4)","(3, 4)",57.4144486692015
"(3, 3)","(2, 5)",57.4144486692015
"(3, 3)","(3, 4)",57.4144486692015
"(3, 3)","(3, 6)",57.4144486692015
"(3, 4)","(2, 4)",57.4144486692015
"(3, 4)","(3, 6)",57.4144486692015
"(3, 4)","(3, 7)",57.4144486692015
"(3, 4)","(4, 4)",57.4144486692015
"(1, 1)","(3, 3)",57.0342205323194
"(1, 1)","(3, 6)",57.0342205323194
"(1, 1)","(3, 7)",57.0342205323194
"(1, 1)","(6, 6)",57.0342205323194
"(1, 2)","(2, 6)",57.0342205323194
"(1, 2)","(3, 5)",57.0342205323194
"(1, 3)","(3, 7)",57.0342205323194
"(1, 3)","(4, 6)",57.0342205323194
"(1, 3)","(4, 7)",57.0342205323194
"(1, 3)","(5, 5)",57.0342205323194
"(1, 4)","(2, 4)",57.0342205323194
"(1, 4)","(2, 6)",57.0342205323194
"(1, 4)","(4, 7)",57.0342205323194
"(1, 4)","(5, 5)",57.0342205323194
"(2, 2)","(2, 4)",57.0342205323194
"(2, 2)","(4, 4)",57.0342205323194
"(2, 2)","(4, 5)",57.0342205323194
