1121630541122428929,"“It’s definitely going to come up”
“I don’t know how exactly he is going to handle it, but there will be scrutiny of the Anita Hill issue, which I think resonates in a different way today. So he has to be able to respond to it in the context now of the MeToo movement”"
1121630116809826304,What happened to the MeToo movement? Why aren’t they saying we don’t want rapists to vote???
1121630099114037250,The MeToo founder says the movement isn't just for women 
1121626889687224322,"AnitaHill isn't accepting JoeBiden's utterly insincere apology &amp; neither would I: it would only be real if he removed ClarenceThomas from the US SupremeCourt; short of that, it's just a cynical maneuver to neutralize the MeToo movement...
"
1121617748889690118,Tarana Burke Is Reclaiming The MeToo Movement! - The Rapping Professor ... 
1121614860645613568,"7 May&gt; @clementine_ford to launch""MeToo: Stories from the Australian Movement"", at @ReadingsBooks Carlton.

Featuring 35 stellar voices, including Deakin's Maria Takolander. Editors: @Christie_Nieman, Maggie Scott, Natalie Kon-Yu &amp; @miriamsved

Details&gt; "
1121609956606783490,"This week, a new anthology about MeToo's Australian arm has launched. @ninafunnell reviews it for our blog, as well as delving into the successes and failures of the movement locally:  @MacmillanAus"
1121605653255139328,"

Where is the metoo movement. These people are sexually assaulting the earth. The earth was not able to consent to this."
1121603832834772997,"Cant believe the defense from the masses about Michael Jackson. Aren't we supposed to support the metoo movement? Does it not count because its boys and not girls? 
LeavingNeverland"
1121592751475159040,Don’t usually get political on here but I was confused. Does the MeToo movement only apply to one party?
1121591514230968321,"Bridget Kelly to @Rachel @maddow: Some of the coverage of her would fall under the MeToo movement if it happened today.

AH???... Cuz you just gotta smile in front of those naughty boys when you hold children on school buses for hours and hours??"
1121590357714665472,"Prior to the Metoo movement beginning, there were sluts in SanFrancisco wishing to make themselves normative to culture, and demanding an end to stigma against them, I think?

Anyway, when are they coming back? Protest trends like that return, right?

UFOJokes AliensToo:alien: "
1121590305684381696,"Odd seeing Christie’s staff member try to gain sympathy from the libtard @Maddow as she panders about her children &amp; throws out the MeToo movement. She says she didn’t see Maddows show back then because she was living it, otherwise this, “Time for traffic probs” person would’ve."
1121589978637717506,"Bridget Kelly said some of the coverage of her would fall under the MeToo movement if it happened today. She's a clown who shouldn't have gotten a chance to go on TV and make excuses for her abhorrent behavior. Enjoy jail, you liar. Bridgegate"
1121589772642869248,"On the $11 million taxpayer-funded Mastro Report commissioned by Chris Christie and run by Rudy Giuliani's deputy mayor Randy Mastro that slut-shamed Bridget Kelly...Kelly tells @maddow: ""It was a year before the MeToo Movement, but it was that...What they did to me was sinful."" "
1121586448094957570,"All over the world, women are taking the initiative and letting their voices be heard. In this day of the MeToo movement, this book, Power Up, Super Women, is an awesome compliment to the philosophy that now is the time to step out 
 powerupsuperwoman "
1121585615831617536,"By entering the race, pervert @JoeBiden single handedly kills the metoo movement. "
1121583902081126400,"SHAME ON LIBS!!! The Witch Hunt called MeToo movement is even spreading thru Farms across the Christian Constitutional Conservative America (USA). When will evil Dems get enough? LockHerUp QAnon Trump:raised_back_of_hand:

"
1121582090716241920,Alyssa Milano supports Creepy Joe - whatever happened to the MeToo movement @CNN @MSNBC 
1121582065470844933,love that it’s about embracing individuality and it’s called ME! and there’s the MeToo movement...... @taylornation13 I LOVE THAT
1121577638366253056,MeToo creator Tarana Burke wants the current movement to be more inclusive to people of all genders.  via @HuffPostWomen
1121571737995333633,"Singapore will forever remember how its metoo movement started.   ,  , "
1121568951387983874,I had no idea Joe Biden was also the father of the MeToo Movement when he attacked Anita Hill
1121566103728263174,Are the Democrats totally ignoring the MeToo movement by letting Bernie Sanders and Joe Biden represent them given the history of accusations about them and their campaign staffs?
1121565054749544448,Michael Fassbender ex girlfriend's claims of abuse resurface - this man beat her and dragged her with his car and why is he still working??? MeToo Movement get on this!  
1121564585880903681,"MacDemarco talks about the Mitski record-naming controversy, the MeToo movement, depression, and alcoholism with @HUCKmagazine. 

Photo: Frazer Harrison/Getty Images "
1121558484934430721,Top story: @TheRightMelissa: '@realDonaldTrump “Creepy Joe” would be more appropriate. Watch his behavior towards young girls. But don’t worry the fake metoo movement won’t care because they DONT care about women. They…  see more 
